date,teamA,teamB,match_type,venue_type,teamA_form_last5,teamB_form_last5,teamA_avg_goals_scored,teamA_avg_goals_conceded,teamB_avg_goals_scored,teamB_avg_goals_conceded,teamA_elo,teamB_elo,diff_elo,diff_form_last5,diff_avg_goals_scored,diff_avg_goals_conceded,result
2006-01-27,Northern Cyprus,Kyrgyzstan,friendly,false,7.000,3.000,0.800,1.800,0.600,2.400,1500.906,1396.312,104.593,4.000,0.200,-0.600,teamA_win
2006-01-27,Nigeria,Zimbabwe,continental_championship,true,12.000,1.000,2.400,1.200,0.400,2.200,1769.397,1583.383,186.014,11.000,2.000,-1.000,teamA_win
2006-01-27,Ghana,Senegal,continental_championship,true,6.000,10.000,1.400,1.000,1.800,1.400,1632.075,1746.101,-114.026,-4.000,-0.400,-0.400,teamA_win
2006-01-28,Egypt,Ivory Coast,continental_championship,false,10.000,13.000,2.000,0.800,1.600,0.600,1726.393,1752.816,-26.423,-3.000,0.400,0.200,teamA_win
2006-01-28,Libya,Morocco,continental_championship,true,1.000,8.000,0.400,1.800,1.200,0.600,1513.959,1712.908,-198.950,-7.000,-0.800,1.200,draw
2006-01-29,South Korea,Croatia,friendly,true,8.000,8.000,1.200,0.800,1.000,0.800,1726.807,1785.227,-58.420,0.000,0.200,0.000,teamA_win
2006-01-29,Cameroon,DR Congo,continental_championship,true,11.000,5.000,1.800,0.800,0.600,1.400,1797.266,1587.332,209.934,6.000,1.200,-0.600,teamA_win
2006-01-29,Angola,Togo,continental_championship,true,5.000,3.000,0.800,1.200,0.200,1.400,1629.630,1628.299,1.331,2.000,0.600,-0.200,teamA_win
2006-01-29,United States,Norway,friendly,false,6.000,6.000,0.600,0.800,0.600,0.800,1836.684,1671.850,164.834,0.000,0.000,0.000,teamA_win
2006-01-30,Bahrain,Syria,friendly,false,6.000,6.000,2.000,1.200,1.400,1.600,1591.662,1580.342,11.320,0.000,0.600,-0.400,draw
2006-01-30,Zambia,South Africa,continental_championship,true,5.000,4.000,1.600,1.800,1.200,2.000,1580.903,1585.525,-4.622,1.000,0.400,-0.200,teamA_win
2006-01-30,Guinea,Tunisia,continental_championship,true,13.000,15.000,1.200,0.200,2.200,0.400,1660.924,1791.904,-130.980,-2.000,-1.000,-0.200,teamA_win
2006-01-31,Zimbabwe,Ghana,continental_championship,true,1.000,6.000,0.200,1.600,0.800,1.000,1571.896,1661.705,-89.808,-5.000,-0.600,0.600,teamA_win
2006-01-31,Nigeria,Senegal,continental_championship,true,12.000,7.000,2.600,1.200,1.200,1.200,1780.884,1716.471,64.413,5.000,1.400,0.000,teamA_win
2006-02-01,Hong Kong,Croatia,friendly,false,12.000,5.000,6.800,0.600,0.400,1.000,1401.468,1776.478,-375.010,7.000,6.400,-0.400,teamB_win
2006-02-01,Thailand,Jordan,friendly,false,4.000,2.000,1.200,2.200,0.400,1.200,1462.278,1603.013,-140.735,2.000,0.800,1.000,draw
2006-02-03,Kuwait,Singapore,friendly,false,2.000,15.000,0.600,1.800,2.200,0.600,1584.977,1460.855,124.122,-13.000,-1.600,1.200,draw
2006-02-03,Egypt,DR Congo,continental_championship,false,10.000,5.000,1.800,0.600,0.400,1.000,1750.601,1576.983,173.618,5.000,1.400,-0.400,teamA_win
2006-02-03,Senegal,Guinea,continental_championship,true,4.000,13.000,1.000,1.400,1.600,0.200,1698.095,1691.526,6.569,-9.000,-0.600,1.200,teamA_win
2006-02-04,Nigeria,Tunisia,continental_championship,true,12.000,12.000,2.000,1.000,1.800,0.800,1799.259,1761.302,37.957,0.000,0.200,0.200,draw
2006-02-04,Cameroon,Ivory Coast,continental_championship,true,11.000,10.000,1.600,0.400,1.400,1.000,1807.615,1728.608,79.006,1.000,0.200,-0.600,draw
